year,total_burned_area,fires_cnt
2000,2723166.36,16298
2001,903869.62,16293
2002,2460377.0,14340
2003,2399236.98,16066
2004,843599.72,13767
2005,1366182.99,12393
2006,2983629.97,16463
2007,3732421.13,16625
2008,2046802.07,12999
2009,844576.35,12948
2010,442907.8,11198
2011,2170488.38,14299
2012,4438603.3,13202
2013,1590024.68,14407
2014,1011904.5599999999,11524
2015,2590628.67,12823
2016,1337611.3,5694
2017,2946213.46,6634
2018,2604728.62,5494
2019,817275.39,5691
2020,5087539.8,6951
2021,5349399.25,9006
2022,2237157.53,7144
2023,922685.56,5631
